ID_SAP,CLIENTE,FECHA_ALTA,DIRECCIÓN,ENTRE_CALLE_1,ENTRE_CALLE_2,COLONIA,DELEGACION_MUNICIPIO,CODIGO_POSTAL,ESTATUS,ID_VP,MODALIDAD,GEC_SAP,GEC_RTM,_MADUREZ_CTE,Estatus_Cte,CADENA,DESC_CADENA,CANAL_KOF,CANAL_SAP,GRUPO_RM1,GRUPO_RM2,ZONA,REGIÓN,REGIÓN_KOF_CVE,UO,CENTRO,GERENCIA,JEFATURA,CENTRO_SUMINISTRO,CONDICIÓN_EXPEDICIÓN,TIPO_SERVICIO,ID_MULTICENTRO,REPARTO_SAP,TPV,RUTA,FV,L,M,R,J,V,S,RITMO,MÉTODO_VENTA,Latitud Final,Longitud Final,Tipo,Descripción Tipo,EsquemaReparto
280000689,Francisco Eloy Reyes Reyes,30.09.2014,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,69600,A,SIN VP,PR,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Huajuapan,YN,MR0101,Nochixtlan,,,MJAX,4,,NO ASIGNADO,RNC003,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Tradicional
280000771,Victor Vasquez Lopez,09.02.2015,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,69600,A,SIN VP,PR,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Huajuapan,YN,MR0101,Nochixtlan,,,MJAX,4,,NO ASIGNADO,RNC002,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Tradicional
280000879,Delfino Lopez Lopez,30.07.2015,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,69600,A,SIN VP,NO DATA,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Huajuapan,YN,MR0101,Nochixtlan,,,MJAX,4,,NO ASIGNADO,RNC001,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Tradicional
280000880,Filomeno Miguel Gaytán,30.07.2015,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,69600,A,SIN VP,NO DATA,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Huajuapan,YN,MR0101,Nochixtlan,,,MJAX,4,,NO ASIGNADO,RNC009,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Tradicional
580001240,Pedro Jesus Lopez Santiago,09.09.2016,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,69600,A,SIN VP,NO DATA,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Huajuapan,YN,MR0101,Nochixtlan,,,MJAX,4,,NO ASIGNADO,RNC008,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Tradicional
580001250,Armando Silva Mayoral,08.11.2016,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,69600,A,SIN VP,NO DATA,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Huajuapan,YN,MR0101,Nochixtlan,,,MJAX,4,,NO ASIGNADO,RNC005,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Tradicional
580001705,Alan Irving Cruz Gil,20.02.2019,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,69600,A,SIN VP,NO DATA,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Huajuapan,YN,MR0101,Nochixtlan,,,MJAX,4,,NO ASIGNADO,NC00C3,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Eventos Especiales
580001955,FELIPE SANTIAGO REYES,23.03.2020,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,69600,A,SIN VP,NO DATA,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Huajuapan,YN,MR0101,Nochixtlan,,,MJAX,4,,NO ASIGNADO,RNCD01,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Full Distribuidor
580002542,Casiano Ramirez Jacinto,07.03.2022,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,69600,A,SIN VP,PR,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Huajuapan,YN,MR0101,Nochixtlan,,,MJAX,4,,NO ASIGNADO,RNC007,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Tradicional
580002543,Juval Montesinos Santiago,07.03.2022,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,69600,A,SIN VP,PR,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Huajuapan,YN,MR0101,Nochixtlan,,,MJAX,4,,NO ASIGNADO,RNC004,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Tradicional
