ID_SAP,CLIENTE,FECHA_ALTA,DIRECCIÓN,ENTRE_CALLE_1,ENTRE_CALLE_2,COLONIA,DELEGACION_MUNICIPIO,CODIGO_POSTAL,ESTATUS,ID_VP,MODALIDAD,GEC_SAP,GEC_RTM,_MADUREZ_CTE,Estatus_Cte,CADENA,DESC_CADENA,CANAL_KOF,CANAL_SAP,GRUPO_RM1,GRUPO_RM2,ZONA,REGIÓN,REGIÓN_KOF_CVE,UO,CENTRO,GERENCIA,JEFATURA,CENTRO_SUMINISTRO,CONDICIÓN_EXPEDICIÓN,TIPO_SERVICIO,ID_MULTICENTRO,REPARTO_SAP,TPV,RUTA,FV,L,M,R,J,V,S,RITMO,MÉTODO_VENTA,Latitud Final,Longitud Final,Tipo,Descripción Tipo,EsquemaReparto
1980000730,JORGE DIAZ RODRIGUEZ,16.11.2018,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,40290,A,SIN VP,PR,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Iguala-Taxco,YJ,MR0327,Taxco,,,MJIC,4,,NO ASIGNADO,RTO108,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Tradicional
1980000820,IVAN VELEZ REYES,04.07.2019,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,40290,A,SIN VP,PR,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Iguala-Taxco,YJ,MR0327,Taxco,,,MJIC,4,,NO ASIGNADO,RTO101,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Tradicional
1980000821,Alexis Ivan Castillo Alvarez,04.07.2019,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,40290,A,SIN VP,PR,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Iguala-Taxco,YJ,MR0327,Taxco,,,MJIC,4,,NO ASIGNADO,RTO114,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Tradicional
1980000822,Hector Daniel Guerrero Garcia,04.07.2019,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,40290,A,SIN VP,HB,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Iguala-Taxco,YJ,MR0327,Taxco,,,MJIC,4,,NO ASIGNADO,RTO109,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Tradicional
1980001087,Hugo Saul Popoca Lopez,05.01.2022,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,40290,A,SIN VP,NO DATA,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Otros,Vendedor CCP,Centro-Pacifico,Iguala-Taxco,YJ,MR0327,Taxco,,,MJIC,4,,NO ASIGNADO,RTOCCP,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,
1980001088,Juan Daniel Juarez Martinez,05.01.2022,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,40290,A,SIN VP,NO DATA,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Otros,Vendedor CCP,Centro-Pacifico,Iguala-Taxco,YJ,MR0327,Taxco,,,MJIC,4,,NO ASIGNADO,RTOCCP,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,
1980001089,Ricardo Ortiz Rodriguez,05.01.2022,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,40290,A,SIN VP,NO DATA,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Otros,Vendedor CCP,Centro-Pacifico,Iguala-Taxco,YJ,MR0327,Taxco,,,MJIC,4,,NO ASIGNADO,RTOCCP,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,
1980001100,Aldo Javier Popoca Trujillo,05.01.2022,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,40290,A,SIN VP,NO DATA,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Otros,Vendedor CCP,Centro-Pacifico,Iguala-Taxco,YJ,MR0327,Taxco,,,MJIC,4,,NO ASIGNADO,RTOCCP,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,
1980001351,Eduardo Garcia Garcia,06.03.2022,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,40290,A,SIN VP,PR,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Iguala-Taxco,YJ,MR0327,Taxco,,,MJIC,4,,NO ASIGNADO,RTO105,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Tradicional
1980001352,Sergio Aviles Villanueva,06.03.2022,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,,DESCONOCIDO,40290,A,SIN VP,PR,SIN ASIGNAR,SIN ASIGNAR,,,9999,RESTO DE MERCADO,7101,OTROS,Tradicional Home Market,Tradicional Vendedor,Centro-Pacifico,Iguala-Taxco,YJ,MR0327,Taxco,,,MJIC,4,,NO ASIGNADO,RTO102,NO DATA,NO DATA,NO DATA,0,0,0,0,0,0,NO DATA,NO DATA,0.0,0.0,,,Tradicional
